Bulan,Grid,Latitude,Longitude,Klorofil,SST,Hasil Tangkapan
2022-01,A2,-6.77083,109.93749,1.179,30.77,6313.25778941116
2022-01,A3,-6.72916,109.93749,0.026,29.975,6000.42248825208
2022-01,A4,-6.68749,109.93749,0.026,30.1,6025.43063959181
2022-01,B1,-6.81249,109.97916,0.026,30.22,6049.43846487794
2022-01,B2,-6.77083,109.97916,0.026,30.785,6162.47530893351
2022-01,B3,-6.72916,109.97916,0.026,30.17,6039.43520434205
2022-01,B4,-6.68749,109.97916,0.026,30.775,6160.47465682633
2022-01,C1,-6.81249,110.02083,0.026,30.07,6019.42868327027
2022-01,C2,-6.77083,110.02083,0.026,30.07,6019.42868327027
2022-01,C3,-6.72916,110.02083,0.026,30.91,6187.48346027323
2022-01,C4,-6.68749,110.02083,0.026,30.83,6171.47824341581
2022-02,A1,-6.81249,109.93749,0.745,29.57,1584.88208543898
2022-02,A2,-6.77083,109.93749,0.553,29.69,1584.46038732312
2022-02,A3,-6.72916,109.93749,0.462,29.755,1584.68880713588
2022-02,A4,-6.68749,109.93749,0.468,29.11,1550.90024560263
2022-02,B1,-6.81249,109.97916,0.732,29.65,1588.64222697206
2022-02,B2,-6.77083,109.97916,0.529,29.72,1585.19835902587
2022-02,B3,-6.72916,109.97916,0.462,29.33,1562.28609473084
2022-02,B4,-6.68749,109.97916,0.462,28.36,1511.15519818286
2022-02,C1,-6.81249,110.02083,0.504,29.57,1576.41298161213
2022-02,C2,-6.77083,110.02083,0.504,29.57,1576.41298161213
2022-02,C3,-6.72916,110.02083,0.026,29.045,1531.94140114377
2022-02,C4,-6.68749,110.02083,0.026,28.705,1514.01923121974
2022-03,A1,-6.81249,109.93749,0.849,30.29,6367.0194723156
2022-03,A2,-6.77083,109.93749,0.537,30.23,6311.7186809434
2022-03,A3,-6.72916,109.93749,0.351,30.15,6269.62404870486
2022-03,A4,-6.68749,109.93749,0.353,30.245,6289.50206948417
2022-03,B1,-6.81249,109.97916,0.891,30.325,6380.01928521279
2022-03,B2,-6.77083,109.97916,0.519,30.17,6296.86175191803
2022-03,B3,-6.72916,109.97916,0.372,30.11,6264.25904655681
2022-03,B4,-6.68749,109.97916,0.365,30.205,6282.89898991734
2022-03,C1,-6.81249,110.02083,1.039,30.395,6414.82301709629
2022-03,C2,-6.77083,110.02083,0.542,30.16,6297.96226517917
2022-03,C3,-6.72916,110.02083,0.405,30.115,6269.83039494132
2022-03,C4,-6.68749,110.02083,0.369,30.21,6284.48097773023
2022-04,A1,-6.81249,109.93749,0.466,31.625,7131.13484692392
2022-04,A2,-6.77083,109.93749,0.359,31.625,7115.20633588358
2022-04,A3,-6.72916,109.93749,0.232,31.41,7048.29170305525
2022-04,A4,-6.68749,109.93749,0.343,31.405,7063.69918803352
2022-04,B1,-6.81249,109.97916,0.642,31.62,7156.21853019773
2022-04,B2,-6.77083,109.97916,0.464,31.71,7149.81735286376
2022-04,B3,-6.72916,109.97916,0.355,31.485,7083.34931380291
2022-04,B4,-6.68749,109.97916,0.46,31.42,7084.46579822162
2022-04,C1,-6.81249,110.02083,0.724,31.745,7196.3375369769
2022-04,C2,-6.77083,110.02083,0.531,31.815,7183.23745313064
2022-04,C3,-6.72916,110.02083,0.498,31.455,7097.93804354079
2022-04,C4,-6.68749,110.02083,0.545,31.385,7089.30389736939
2022-05,A1,-6.81249,109.93749,1.319,31.11,2794.30332983497
2022-05,A2,-6.77083,109.93749,0.497,31.135,2748.61870658023
2022-05,A3,-6.72916,109.93749,0.403,31.15,2744.45497099997
2022-05,A4,-6.68749,109.93749,0.348,31.2,2745.61965228116
2022-05,B1,-6.81249,109.97916,1.358,30.925,2780.41450555676
2022-05,B2,-6.77083,109.97916,0.662,31.06,2751.67599494336
2022-05,B3,-6.72916,109.97916,0.478,31.115,2745.76523744131
2022-05,B4,-6.68749,109.97916,0.353,31.135,2740.23300135565
2022-05,C1,-6.81249,110.02083,1.402,31.09,2797.38973523013
2022-05,C2,-6.77083,110.02083,0.957,31.05,2767.98153288004
2022-05,C3,-6.72916,110.02083,0.468,31.035,2738.19480911357
2022-05,C4,-6.68749,110.02083,0.354,31.17,2743.34852378284
2022-06,A1,-6.81249,109.93749,0.554,30.4,6189.42778291517
2022-06,A2,-6.77083,109.93749,0.396,30.735,6235.62654946225
2022-06,A3,-6.72916,109.93749,0.413,30.675,6225.83697048421
2022-06,A4,-6.68749,109.93749,0.442,30.5,6194.52372813662
2022-06,B1,-6.81249,109.97916,0.669,30.205,6165.62435457813
2022-06,B2,-6.77083,109.97916,0.455,30.63,6222.41732303297
2022-06,B3,-6.72916,109.97916,0.478,30.6,6219.46703895739
2022-06,B4,-6.68749,109.97916,0.503,30.65,6232.8774211191
2022-06,C1,-6.81249,110.02083,0.922,30.175,6193.51794947449
2022-06,C2,-6.77083,110.02083,0.628,30.41,6201.36302303909
2022-06,C3,-6.72916,110.02083,0.568,30.565,6224.49593226803
2022-06,C4,-6.68749,110.02083,0.585,30.605,6234.82192653255
2022-07,A1,-6.81249,109.93749,0.69992,30.055,3026.72526062036
2022-07,A2,-6.77083,109.93749,0.55229,29.995,3011.01528452733
2022-07,A3,-6.72916,109.93749,0.56995,29.875,3000.28281169586
2022-07,A4,-6.68749,109.93749,0.60318,29.78,2993.05885391407
2022-07,B1,-6.81249,109.97916,0.75136,30.085,3033.10101323751
